voter_id,nombre,partido,dim_1,dim_2,legislatura
P816,Carreón Mejía Carlos,Partido Acción Nacional (PAN),-0.81634,0.219606,LXIV
P817,Castaños Valenzuela Carlos Humberto,Partido Acción Nacional (PAN),-0.93342,-0.358785,LXIV
P818,Espadas Galván Jorge Arturo,Partido Acción Nacional (PAN),-0.925271,-0.379307,LXIV
P819,Espinosa Rivas Ma. Eugenia Leticia,Partido Acción Nacional (PAN),-0.994092,-0.108539,LXIV
P820,García Escalante Ricardo,Partido Acción Nacional (PAN),-0.932114,-0.362164,LXIV
P821,García Gómez Martha Elena,Partido Acción Nacional (PAN),-0.994736,-0.102451,LXIV
P822,García Morlan Dulce Alejandra,Partido Acción Nacional (PAN),-0.83039,0.201952,LXIV
P823,García Ochoa Absalón,Partido Acción Nacional (PAN),-0.985568,-0.169279,LXIV
P824,García Rojas Mariana Dunyaska,Partido Acción Nacional (PAN),-0.995508,-0.094601,LXIV
P825,Garfias Cedillo Sylvia Violeta,Partido Acción Nacional (PAN),-0.981567,0.057334,LXIV
P826,Garza Galván Silvia Guadalupe,Partido Acción Nacional (PAN),-0.935927,-0.352195,LXIV
P827,González Estrada Martha Elisa,Partido Acción Nacional (PAN),-0.934107,-0.356993,LXIV
P828,González Márquez Karen Michel,Partido Acción Nacional (PAN),-0.82699,-0.246247,LXIV
P829,Guerra Villarreal Isabel Margarita,Partido Acción Nacional (PAN),-0.961717,-0.274044,LXIV
P830,Gutiérrez Valdez María de los Angeles,Partido Acción Nacional (PAN),-0.985565,-0.169298,LXIV
P831,Guzmán Avilés Jesús,Partido Acción Nacional (PAN),-0.949279,-0.314436,LXIV
P832,López Birlain Ana Paola,Partido Acción Nacional (PAN),-0.979552,-0.201192,LXIV
P833,López Cisneros José Martín,Partido Acción Nacional (PAN),-0.910421,-0.413683,LXIV
P834,Luévano Núñez Francisco Javier,Partido Acción Nacional (PAN),-0.926631,-0.375971,LXIV
P835,Macías Olvera Felipe Fernando,Partido Acción Nacional (PAN),-0.925271,-0.379307,LXIV
P836,Mares Aguilar José Rigoberto,Partido Acción Nacional (PAN),-0.935799,-0.352534,LXIV
P837,Martínez Juárez Jacquelina,Partido Acción Nacional (PAN),-0.935894,-0.352281,LXIV
P838,Martínez Terrazas Oscar Daniel,Partido Acción Nacional (PAN),-0.935862,-0.352367,LXIV
P839,Mata Lozano Lizbeth,Partido Acción Nacional (PAN),-0.930877,-0.365332,LXIV
P840,Mendoza Acevedo Luis Alberto,Partido Acción Nacional (PAN),-0.925256,-0.379343,LXIV
P841,Murillo Chávez Janet Melanie,Partido Acción Nacional (PAN),-0.936043,-0.351887,LXIV
P842,Muñoz Márquez Juan Carlos,Partido Acción Nacional (PAN),-0.925108,-0.379704,LXIV
P843,Núñez Cerón Sarai,Partido Acción Nacional (PAN),-0.934048,-0.357148,LXIV
P844,Ortega Martínez Ma. del Pilar,Partido Acción Nacional (PAN),-0.994805,-0.1018,LXIV
P845,Patrón Laviada Cecilia Anunciación,Partido Acción Nacional (PAN),-0.935831,-0.352448,LXIV
P846,Ramos Tamez Mario Alberto,Partido Acción Nacional (PAN),-0.643595,-0.283408,LXIV
P847,Rivera Hernández Marcelino,Partido Acción Nacional (PAN),-0.985565,-0.169298,LXIV
P848,Robledo Leal Ernesto Alfonso,Partido Acción Nacional (PAN),-0.933651,-0.358183,LXIV
P849,Rocha Acosta Sonia,Partido Acción Nacional (PAN),-0.830133,-0.246583,LXIV
P850,Rodríguez Rivera Iván Arturo,Partido Acción Nacional (PAN),-0.981552,0.056888,LXIV
P851,Rojas Hernández Laura Angélica,Partido Acción Nacional (PAN),-0.988323,-0.152372,LXIV
P852,Romero Herrera Jorge,Partido Acción Nacional (PAN),-0.927983,-0.372624,LXIV
P853,Romero Hicks Juan Carlos,Partido Acción Nacional (PAN),-0.994755,-0.102211,LXIV
P854,Romero León Gloria,Partido Acción Nacional (PAN),-0.993607,-0.112898,LXIV
P855,Romo Cuéllar Martha Estela,Partido Acción Nacional (PAN),-0.935844,-0.352415,LXIV
P856,Romo Romo Guadalupe,Partido Acción Nacional (PAN),-0.935852,-0.352393,LXIV
P857,Salazar Báez Josefina,Partido Acción Nacional (PAN),-0.993871,-0.110543,LXIV
P858,Salinas Wolberg Hernán,Partido Acción Nacional (PAN),-0.985833,-0.167729,LXIV
P859,Sobrado Rodríguez Verónica María,Partido Acción Nacional (PAN),-0.961732,-0.273993,LXIV
P860,Terrazas Baca Patricia,Partido Acción Nacional (PAN),-0.995056,-0.099319,LXIV
P861,Torres Ramírez Adolfo,Partido Acción Nacional (PAN),-0.99554,-0.094243,LXIV
P862,Trejo Reyes José Isabel,Partido Acción Nacional (PAN),-0.995536,-0.094315,LXIV
P863,Valenzuela González Carlos Alberto,Partido Acción Nacional (PAN),-0.827258,-0.561822,LXIV
P864,Falomir Saenz Alan Jesús,Partido Acción Nacional (PAN),-0.644215,-0.283334,LXIV
P865,Medina Herrera Benito,Partido Revolucionario Institucional (PRI),-0.35917,0.933272,LXIV
P867,Nemer Alvarez Ernesto Javier,Partido Revolucionario Institucional (PRI),-0.61617,0.787613,LXIV
P868,Acosta Peña Brasil Alberto,Partido Revolucionario Institucional (PRI),-0.583491,0.812119,LXIV
P869,Aguilar Castillo Ricardo,Partido Revolucionario Institucional (PRI),-0.63466,0.772792,LXIV
P870,Alcántara Núñez Jesús Sergio,Partido Revolucionario Institucional (PRI),-0.200599,0.885921,LXIV
P871,Alemán Muñoz Castillo María,Partido Revolucionario Institucional (PRI),-0.625062,0.780575,LXIV
P872,Alonzo Morales María Ester,Partido Revolucionario Institucional (PRI),-0.625148,0.780506,LXIV
P873,Álvarez García Ivonne Liliana,Partido Revolucionario Institucional (PRI),-0.62515,0.780504,LXIV
P874,Angulo Briceño Pablo Guillermo,Partido Revolucionario Institucional (PRI),-0.442275,0.841934,LXIV
P875,Azuara Yarzábal Frinné,Partido Revolucionario Institucional (PRI),-0.62498,0.780641,LXIV
P876,Barrera Fortoul Laura,Partido Revolucionario Institucional (PRI),-0.636786,0.771041,LXIV
P877,Campos Córdova Lenin Nelson,Partido Revolucionario Institucional (PRI),-0.59341,0.8049,LXIV
P878,Canul Pérez Juan José,Partido Revolucionario Institucional (PRI),-0.592597,0.805499,LXIV
P879,Córdova Morán Luis Eleusis Leónidas,Partido Revolucionario Institucional (PRI),-0.583452,0.812147,LXIV
P880,De las Fuentes Hernández Fernando Donato,Partido Revolucionario Institucional (PRI),-0.333371,0.92559,LXIV
P881,Flores Sánchez Margarita,Partido Revolucionario Institucional (PRI),-0.651008,0.759071,LXIV
P882,Galindo Favela Fernando,Partido Revolucionario Institucional (PRI),-0.637474,0.770471,LXIV
P883,Garay Cadena Martha Hortencia,Partido Revolucionario Institucional (PRI),-0.333353,0.925536,LXIV
P884,González Cuevas Isaías,Partido Revolucionario Institucional (PRI),-0.620126,0.784501,LXIV
P885,Guel Saldívar Norma,Partido Revolucionario Institucional (PRI),-0.714224,0.509407,LXIV
P886,Hernández Deras Ismael Alfredo,Partido Revolucionario Institucional (PRI),-0.617025,0.786943,LXIV
P887,Herrera Anzaldo Ana Lilia,Partido Revolucionario Institucional (PRI),-0.638335,0.769758,LXIV
P888,Ingram Vallines Anilú,Partido Revolucionario Institucional (PRI),-0.651093,0.758997,LXIV
P889,Juárez Cisneros Rene,Partido Revolucionario Institucional (PRI),-0.63466,0.772792,LXIV
P890,Limón Hernández Manuel,Partido Revolucionario Institucional (PRI),-0.593499,0.804834,LXIV
P891,López Castro Cynthia Iliana,Partido Revolucionario Institucional (PRI),-0.852632,0.522512,LXIV
P892,Noroña Quezada Hortensia María Luisa,Partido Revolucionario Institucional (PRI),-0.357417,0.933945,LXIV
P893,Ochoa Reza Enrique,Partido Revolucionario Institucional (PRI),-0.780179,0.625557,LXIV
P894,Ortiz Guarneros Juan,Partido Revolucionario Institucional (PRI),-0.355237,0.929104,LXIV
P895,Pastor Badilla Claudia,Partido Revolucionario Institucional (PRI),-0.592662,0.805451,LXIV
P896,Pavón Campos Carlos,Partido Revolucionario Institucional (PRI),-0.593499,0.804834,LXIV
P897,Pérez Munguía Soraya,Partido Revolucionario Institucional (PRI),-0.776547,0.630057,LXIV
P898,Puente De La Mora Ximena,Partido Revolucionario Institucional (PRI),-0.583506,0.812108,LXIV
P899,Roa Sánchez Cruz Juvenal,Partido Revolucionario Institucional (PRI),-0.581536,0.813521,LXIV
P900,Rocha Medina Ma. Sara,Partido Revolucionario Institucional (PRI),-0.661343,0.750083,LXIV
P901,Rodríguez Mier Y Terán Mariana,Partido Revolucionario Institucional (PRI),-0.711885,0.702296,LXIV
P902,Saldaña Pérez María Lucero,Partido Revolucionario Institucional (PRI),-0.650987,0.759089,LXIV
P903,Sánchez Martínez Lourdes Erika,Partido Revolucionario Institucional (PRI),-0.592648,0.805461,LXIV
P904,Sauri Riancho Dulce María,Partido Revolucionario Institucional (PRI),-0.625074,0.780566,LXIV
