voter_id,nombre,genero,curul_tipo,legislatura,partido,partido_disciplina,dim_1_aligned,dim_2_aligned,dim_1_raw,dim_2_raw,disciplina,n_votos
P03101,Hernández Mirón Carlos,M,mayoria_relativa,LXVI,MORENA,Independientes,0.3660882111847562,-0.23179521179355733,-0.255914,-0.189201,0.861,223
P03114,Santiago Rodríguez Guillermo Rafael,M,plurinominal,LXVI,MORENA,Independientes,0.36611351415944426,-0.2317894599639705,-0.255917,-0.189231,0.9058,223
P03142,Herrera Borunda Javier Octavio,M,plurinominal,LXVI,PVEM,Nueva Alianza,0.3182262129599819,-0.7681105490695384,-0.829137,0.061437,0.8789,223
P03186,Flores Cervantes Hugo Eric,M,plurinominal,LXVI,MORENA,Independientes,0.365132411719268,-0.22993063033094274,-0.253507,-0.188836,0.8161,223
P03263,Alonso Que Erubiel Lorenzo,M,plurinominal,LXVI,PRI,Partido Encuentro Social,0.21906678326542492,0.782515736603936,0.915854,-0.401512,0.9641,223
P03373,Avila Vera Mildred Concepción,F,mayoria_relativa,LXVI,MORENA,Independientes,0.1975782109337449,-0.18260793977222736,-0.13954,-0.021696,0.9552,223
P03374,Bautista Peláez Maria del Carmen,F,mayoria_relativa,LXVI,MORENA,Independientes,0.19755916732526865,-0.18261341043660198,-0.139539,-0.021673,0.8655,223
P03375,Borrego Adame Francisco Javier,M,mayoria_relativa,LXVI,MORENA,Independientes,0.3651716549078122,-0.22996649953693993,-0.253561,-0.188866,0.9283,223
P03409,Bautista Bravo Juan Angel,M,mayoria_relativa,LXVI,MORENA,Independientes,0.32008417734927436,-0.15881664973427673,-0.158534,-0.165446,0.9193,223
P03421,Carrazco Macías Olegaria,F,mayoria_relativa,LXVI,MORENA,Independientes,0.36516539162775763,-0.22996405906841477,-0.253556,-0.18886,0.9327,223
P03424,Carvajal Hidalgo Alejandro,M,mayoria_relativa,LXVI,MORENA,Independientes,0.3651743334892785,-0.22993655765198556,-0.253529,-0.18888,0.7489,223
P03427,Castillo Lozano Katia Alejandra,F,plurinominal,LXVI,MORENA,Independientes,0.19754936631273967,-0.18261124721944624,-0.139533,-0.021663,0.9283,223
P03447,Domínguez Rodríguez Roberto Ángel,M,mayoria_relativa,LXVI,MORENA,Independientes,0.3653430774318982,-0.22955964010170288,-0.253176,-0.189205,0.7848,223
P03455,Fernández Cruz Nayeli Arlen,F,plurinominal,LXVI,PVEM,Nueva Alianza,0.31622444330529276,-0.7463430344261417,-0.804416,0.05561,0.9283,223
P03464,García Vidaña Martha Olivia,F,mayoria_relativa,LXVI,MORENA,Independientes,0.36533688068717174,-0.22960346740671383,-0.253222,-0.189182,0.9552,223
P03477,Hernández Pérez César Agustín,M,mayoria_relativa,LXVI,MORENA,Independientes,0.3189271107021511,-0.1689686676673151,-0.169292,-0.160425,0.9686,223
P03479,Hernández Tapia Arturo Roberto,M,mayoria_relativa,LXVI,MORENA,Independientes,0.3189282236214716,-0.16898554023094997,-0.169311,-0.16042,0.9462,223
P03490,Juan Carlos Irma,F,mayoria_relativa,LXVI,MORENA,Independientes,0.36532987958523677,-0.22965573295046354,-0.253277,-0.189155,0.9776,223
P03508,Mayer Bretón Sergio,M,mayoria_relativa,LXVI,MORENA,Independientes,0.36341433208994633,-0.33711479736680106,-0.370963,-0.147391,0.8889,198
P03526,Navarrete Rivera Alma Delia,F,mayoria_relativa,LXVI,MORENA,Independientes,0.19755753512779475,-0.18261395711165518,-0.139539,-0.021671,0.924,171
P03541,Pérez Bernabe Jaime Humberto,M,mayoria_relativa,LXVI,MORENA,Independientes,0.5918464164181145,-0.5759552590364373,-0.718399,-0.310931,0.9596,223
P03551,Ramírez Cuellar Alfonso,M,mayoria_relativa,LXVI,MORENA,Independientes,0.36625698706959,-0.23162976557605636,-0.255794,-0.189448,0.8117,223
P03590,Tenorio Adame Paola,F,mayoria_relativa,LXVI,MORENA,Independientes,0.6021407750163884,-0.568784176695547,-0.714297,-0.324919,0.9013,223
P03594,Vargas Meraz Teresita de Jesús,F,mayoria_relativa,LXVI,MORENA,Independientes,0.319476965433695,-0.16978382443107845,-0.170393,-0.16073,0.7803,223
P03595,Vazquez Vazquez Alfredo,M,mayoria_relativa,LXVI,MORENA,Independientes,0.3652707107856228,-0.22976903823571387,-0.25338,-0.189048,0.852,223
P03597,Vences Valencia Julieta Kristal,F,mayoria_relativa,LXVI,MORENA,Independientes,0.19755073300037262,-0.18261532771313094,-0.139538,-0.021663,0.9507,223
P03603,Villegas Guarneros Dulce María Corina,F,mayoria_relativa,LXVI,MORENA,Independientes,0.6059740402822097,-0.5741588009701927,-0.721633,-0.327159,0.9507,223
P03604,Villegas Sánchez Merary,F,mayoria_relativa,LXVI,MORENA,Independientes,0.38049735729589607,-0.22855751300430077,-0.257664,-0.206271,0.7466,146
P03606,Zagal Ramírez Xochitl Nashielly,F,mayoria_relativa,LXVI,MORENA,Independientes,0.19758182302923305,-0.1826593735618689,-0.139598,-0.021681,0.87,223
P03609,Zenteno Santaella Pedro Mario,M,mayoria_relativa,LXVI,MORENA,Independientes,0.3651632323244447,-0.22997658171468116,-0.253569,-0.188853,0.9552,223
P03633,Gómez Cárdenas Annia Sarahí,F,mayoria_relativa,LXVI,PAN,Convergencia,-0.536944061436569,0.4546141008863044,0.833565,0.552421,0.8475,223
P03639,Guzmán Avilés María Del Rosario,F,plurinominal,LXVI,PAN,Convergencia,-0.5389489207256233,0.4520338253209609,0.831462,0.555582,0.8565,223
P03640,Lixa Abimerhi José Elías,M,mayoria_relativa,LXVI,PAN,Convergencia,-0.5392952851999985,0.45158561755619475,0.831096,0.556129,1.0,223
P03651,Pérez Díaz Víctor Manuel,M,plurinominal,LXVI,PAN,Convergencia,-0.5372621788449491,0.4542062140048174,0.833233,0.552922,0.852,223
P03663,Tejeda Cid Armando,M,mayoria_relativa,LXVI,PAN,Convergencia,-0.5384938905077357,0.45262099296004865,0.831941,0.554864,0.713,223
P03665,Torres Graciano Fernando,M,mayoria_relativa,LXVI,PAN,Convergencia,-0.539001623356827,0.451966252875722,0.831407,0.555665,0.8834,223
P03680,Espinoza Eguia Juan Francisco,M,mayoria_relativa,LXVI,PRI,Partido Encuentro Social,0.27576744250116675,0.7695056452565269,0.880597,-0.459181,0.8861,202
P03715,Bernal Martínez Mary Carmen,F,mayoria_relativa,LXVI,PT,Alternativa Socialdemócrata,-0.10017746141618361,0.15817035696493903,0.345787,0.180605,0.9462,223
P03718,Elizondo Guerra Olga Juliana,F,mayoria_relativa,LXVI,PT,Alternativa Socialdemócrata,0.3658602282232408,-0.9056206467917993,-0.998216,0.059699,0.8969,223
P03722,García García Margarita,F,mayoria_relativa,LXVI,PT,Alternativa Socialdemócrata,-0.09945420413752579,0.1588455471152746,0.346264,0.179559,0.9596,223
P03724,García Hernández Jesús Fernando,M,mayoria_relativa,LXVI,PT,Alternativa Socialdemócrata,0.029248117006624247,-0.927934708709452,-0.898587,0.438795,0.9148,223
P03726,González Soto Santiago,M,mayoria_relativa,LXVI,PT,Alternativa Socialdemócrata,0.27902650700748954,-0.9242951232037011,-0.986748,0.162259,0.8789,223
P03731,Manzanilla Téllez Emilio,M,mayoria_relativa,LXVI,PT,Alternativa Socialdemócrata,0.2700209926604289,-0.9257020972582374,-0.984975,0.1727,0.8789,223
P03732,Martínez Ruiz Maribel,F,plurinominal,LXVI,PT,Alternativa Socialdemócrata,0.20467242348994447,-0.9330116819929094,-0.968914,0.247395,0.9686,223
P03733,Martínez Ventura Luis Enrique,M,mayoria_relativa,LXVI,PT,Alternativa Socialdemócrata,0.35898418086568995,-0.9074453240142786,-0.997689,0.067948,0.9507,223
P03735,Montalvo Luna José Luis,M,mayoria_relativa,LXVI,PT,Alternativa Socialdemócrata,0.2037879825436687,-0.9330755515677898,-0.968658,0.248393,0.9776,223
P03740,Rojo Pimentel Ana Karina,F,mayoria_relativa,LXVI,PT,Alternativa Socialdemócrata,0.21513076112751894,-0.9321809670724245,-0.971858,0.235566,0.8924,223
P03741,Rosete  María,F,mayoria_relativa,LXVI,MORENA,Independientes,0.19756138533622403,-0.18264171229639686,-0.139571,-0.021665,0.8386,223
P03743,Sandoval Flores Reginaldo,M,plurinominal,LXVI,PT,Alternativa Socialdemócrata,-0.10018174871206684,0.15812353860250689,0.345737,0.180627,0.9327,223
P03745,Vázquez García Dionicia,F,mayoria_relativa,LXVI,MORENA,Independientes,0.3651827208480606,-0.22990198077060758,-0.253494,-0.188902,0.9401,217
P03772,Cabrera Lagunas Ma. del Carmen,F,mayoria_relativa,LXVI,PVEM,Nueva Alianza,0.384981193002667,-0.22056332565415038,-0.250511,-0.214161,0.8341,223
P03780,Baldenebro Arredondo Manuel de Jesus,M,mayoria_relativa,LXVI,MORENA,Independientes,0.36518115127207196,-0.22994607358545943,-0.253542,-0.188884,0.9596,223
P03810,Gómez Maldonado Maiella Martha Gabriela,F,mayoria_relativa,LXVI,MORENA,Independientes,0.36515685945679077,-0.22989793550150828,-0.25348,-0.188875,0.8879,223
P03821,Gutiérrez Luna Sergio Carlos,M,plurinominal,LXVI,MORENA,Independientes,0.365176457568006,-0.22989954030208237,-0.253489,-0.188896,0.9507,223
P03856,Armendáriz Guerra Carmen Patricia,F,plurinominal,LXVI,MORENA,Independientes,0.3702176181251178,-0.21107106599622433,-0.234605,-0.201398,0.5291,223
P03858,Avila Flores Claudia Selene,F,plurinominal,LXVI,MORENA,Independientes,0.36610997251312705,-0.23178701558160247,-0.255913,-0.189228,0.9202,213
P03859,Ayala Leyva Ana Elizabeth,F,mayoria_relativa,LXVI,MORENA,Independientes,0.3651699366057961,-0.22990717026976998,-0.253495,-0.188886,0.991,223
P03862,Barrera Puc Rocío Natalí,F,plurinominal,LXVI,MORENA,Independientes,0.014354197760752085,-0.9258389636333914,-0.890782,0.454431,0.9148,223
P03867,Blancas Mercado Bruno,M,mayoria_relativa,LXVI,MORENA,Independientes,0.31905149758302104,-0.16897420423554638,-0.169344,-0.16056,0.9721,179
P03874,Carrillo Cubillas Mario Miguel,M,mayoria_relativa,LXVI,MORENA,Independientes,0.31907047857001203,-0.16892518743137305,-0.169297,-0.160599,0.8879,223
P03876,Castellanos Polanco Favio,M,plurinominal,LXVI,MORENA,Independientes,0.36532905957265704,-0.22965328465425272,-0.253274,-0.189155,0.8789,223
P03879,Chavez Rojas Olga Leticia,F,plurinominal,LXVI,MORENA,Independientes,0.3651615844715995,-0.22996624185478465,-0.253557,-0.188855,0.9013,223
P03885,Corona Arvizu Armando,M,mayoria_relativa,LXVI,MORENA,Independientes,0.3654741490249054,-0.2294821570563358,-0.253139,-0.189378,0.7489,223
P03889,Diaz Vilchis Catalina,F,plurinominal,LXVI,MORENA,Independientes,0.3651533921734874,-0.22994720216015124,-0.253533,-0.188853,0.9731,223
P03901,Godoy Rangel Leonel,M,mayoria_relativa,LXVI,MORENA,Independientes,0.36516186172296894,-0.229969779587259,-0.253561,-0.188854,0.9372,223
P03906,Hernández Espejo Rosa,F,mayoria_relativa,LXVI,MORENA,Independientes,0.37389271048106354,-0.4516630555853962,-0.501033,-0.116666,0.7949,78
P03909,Hernández Sáenz Claudia Alejandra,F,mayoria_relativa,LXVI,MORENA,Independientes,0.3191929677435672,-0.16893589784339536,-0.169354,-0.16073,0.8072,223
P03910,Herrera Villavicencio Mónica,F,mayoria_relativa,LXVI,MORENA,Independientes,0.5918437691473909,-0.5760069739912911,-0.718455,-0.310909,0.9417,223
P03924,Moreno Guerra Evangelina,F,mayoria_relativa,LXVI,MORENA,Independientes,0.19756113156791155,-0.18265450436634703,-0.139585,-0.02166,0.8565,223
P03925,Murguía Lardizábal Daniel,M,mayoria_relativa,LXVI,MORENA,Independientes,0.36518162749795413,-0.22989871637565978,-0.25349,-0.188902,0.9776,223
P03928,Narro Panameño Blanca Araceli,F,plurinominal,LXVI,MORENA,Independientes,0.36626862629969403,-0.2090635482013758,-0.230936,-0.197788,0.8161,223
P03960,Vázquez Arellano Manuel,M,plurinominal,LXVI,MORENA,Independientes,0.3660797416352747,-0.23177263436644957,-0.255886,-0.1892,0.8655,223
P03963,Zebadúa Alva Joaquín,M,mayoria_relativa,LXVI,MORENA,Independientes,0.36516892936023193,-0.22996378181704535,-0.253557,-0.188864,0.9552,223
P03964,Becerra Moreno Monica,F,mayoria_relativa,LXVI,PAN,Convergencia,-0.529832017244718,0.46360927639278715,0.840851,0.541266,0.592,201
P03976,Balderas Trejo Ana María,F,mayoria_relativa,LXVI,PAN,Convergencia,-0.5395441242341233,0.4512635619404288,0.830833,0.556522,0.9552,223
