legislatura,partido,curul_tipo,n_personas,disciplina_mean,disciplina_std,centroid_d1,centroid_d2,std_d1,n_votos_mean
LXV,PAN,plurinominal,51,0.9245450980392157,0.054203978871390966,0.10154654601404449,-1.0147784924095686,0.18705371026823858,489.2156862745098
LXV,PRI,mayoria_relativa,43,0.9080674418604652,0.0603306828709991,-0.32331413481542226,-0.8486646690184156,0.16451837335616395,524.953488372093
LXV,PRI,plurinominal,38,0.8950684210526315,0.05776195842146273,-0.29450334544361845,-0.8091582264269955,0.08661391752871236,525.5263157894736
LXV,PT,mayoria_relativa,28,0.9249392857142856,0.06024922522499058,-0.03171628452566846,0.2995018393308495,0.17375906575089306,607.2142857142857
LXV,PT,plurinominal,9,0.9116333333333334,0.08782192209237966,-0.054245019428995074,0.32689608123481656,0.244921837043003,603.1111111111111
LXV,PVEM,mayoria_relativa,40,0.927895,0.07142833938057541,-0.025021998782977017,0.07617104395246449,0.18042697292308607,506.275
LXV,PVEM,plurinominal,13,0.8966153846153847,0.07563385315842201,-0.09006010962380534,0.04723945020045096,0.13484286603924106,535.6923076923077
LXVI,MC,plurinominal,28,0.9131214285714285,0.06496029190058743,0.43476646982887496,0.7198858065307459,0.03335095353905791,206.82142857142858
LXVI,MORENA,mayoria_relativa,187,0.9058823529411765,0.070059987037404,0.34307011682638383,-0.258844292062742,0.12787075404091988,210.55614973262033
LXVI,MORENA,plurinominal,79,0.8921873417721519,0.10949201746701481,0.3253342712157712,-0.2676357653627868,0.12007145686624603,216.9240506329114
LXVI,PAN,mayoria_relativa,37,0.8982270270270271,0.08127203512705763,-0.5308215220700978,0.4581856343089391,0.052793551185938675,209.02702702702703
LXVI,PAN,plurinominal,38,0.8978499999999999,0.06441369986058657,-0.5304400764732805,0.44948597287368186,0.06114537888513511,208.8421052631579
LXVI,PRI,mayoria_relativa,13,0.9219076923076923,0.06359754268757117,0.18208649119540876,0.7804167217542679,0.08778306086837154,205.84615384615384
LXVI,PRI,plurinominal,25,0.8870600000000001,0.07391897591281955,0.17759945077189584,0.7836207702360305,0.04669986933484962,221.44
LXVI,PT,mayoria_relativa,35,0.9084800000000001,0.06596574779651133,0.19673808092751685,-0.6552050740306868,0.17629327273791026,221.34285714285716
LXVI,PT,plurinominal,14,0.8702142857142857,0.12718530912468964,0.1332413514740711,-0.6185614780139369,0.15469918948543607,222.85714285714286
