voter_id,nombre,partido,dim_1,dim_2,legislatura
P00375,García Rodríguez Víctor Hugo,MORENA,-0.70339,-0.04793,LX
P00376,Garzón Contreras Neftalí,MORENA,-0.870637,-0.269451,LX
P00377,González Garza Javier,MORENA,-0.691408,-0.037855,LX
P00378,Guerra Ochoa Juan Nicasio,MORENA,-0.696619,0.010611,LX
P00379,Gutiérrez Calzadilla José Luis,MORENA,-0.719632,-0.061273,LX
P00380,Hernández Gaytán Daisy Selene,MORENA,-0.819204,0.014063,LX
P00381,Hernández Hernández Sergio,MORENA,-0.721885,2e-06,LX
P00382,Hernández Manzanares Javier,MORENA,-0.608398,0.127308,LX
P00383,Hernández Silva Benjamín,MORENA,-0.640495,0.148892,LX
P00384,Ibarra Franquez Sonia Nohelia,MORENA,-0.647955,0.043517,LX
P00385,Jacques y Medina José,MORENA,-0.911325,-0.251956,LX
P00386,Lemarroy Martínez Juan Darío,MORENA,-0.856094,-0.265056,LX
P00387,Leyva Piñón Ana Yurixi,MORENA,-0.67955,0.061551,LX
P00388,Lizárraga Peraza Víctor Manuel,MORENA,-0.662037,0.04398,LX
P00389,López Barriga  Erick,MORENA,-0.667938,0.049795,LX
P00390,López Becerra Santiago,MORENA,-0.727299,-0.031546,LX
P00391,López Rojas Alberto,MORENA,-0.915328,-0.24081,LX
P00392,López Torres Ma. Soledad,MORENA,-0.69143,0.026018,LX
P00393,Lozano Lozano Andrés,MORENA,-0.857583,-0.243835,LX
P00394,Luna Munguía Alma Lilia,MORENA,-0.659491,0.073957,LX
P00395,Márquez Madrid Camerino Eleazar,MORENA,-0.706245,-0.062562,LX
P00396,Márquez Tinoco Francisco,MORENA,-0.670823,0.06755,LX
P00397,Martínez Hernández Alejandro,MORENA,-0.665487,0.076447,LX
P00398,Martínez Martínez Carlos Roberto,MORENA,-0.886571,-0.280668,LX
P00399,Martínez Martínez Francisco,MORENA,-0.695598,0.034218,LX
P00400,Martínez Padilla Hugo Eduardo,MORENA,-0.64402,0.075611,LX
P00401,Martínez Vargas Octavio,MORENA,-0.658558,0.082008,LX
P00402,Matías Alonso Marcos,MORENA,-0.80295,-0.116273,LX
P00403,Matus Toledo Holly,MORENA,-0.653849,0.184863,LX
P00404,Mendoza Arellano David,MORENA,-0.661556,0.10443,LX
P00405,Mendoza Flores Roberto,MORENA,-0.964017,-0.07403,LX
P00406,Mendoza Maldonado Fausto Fluvio,MORENA,-0.672925,0.046314,LX
P00407,Mendoza Mendoza Irineo,MORENA,-0.714125,-0.123498,LX
P00408,Monreal Ávila Susana,MORENA,-0.72808,-0.114074,LX
P00409,Montalvo Rojas Victorio Rubén,MORENA,-0.657051,0.072962,LX
P00410,Narcía Álvarez Héctor,MORENA,-0.619974,0.117106,LX
P00411,Navarro López Carlos Ernesto,MORENA,-0.691517,1e-06,LX
P00412,Navarro Quintero Miguel Ángel,MORENA,-0.736462,-0.151759,LX
P00413,Ojeda Hernández Concepción,MORENA,-0.93016,-0.220927,LX
P00414,Oliva Fragoso Silvia,MORENA,-0.708769,-0.022073,LX
P00415,Orcí Martínez Juan Adolfo,MORENA,-0.652546,-0.046671,LX
P00416,Ortiz Magallón Rosario Ignacia,MORENA,-0.789121,-0.021458,LX
P00417,Pacheco LLanes Ramón Félix,MORENA,-0.976236,-0.183574,LX
P00418,Pedraza Chávez Isidro,MORENA,-0.743206,9.9e-05,LX
P00419,Pedrozo Castillo Adrián,MORENA,-0.978969,-0.204008,LX
P00420,Pérez Cruz Raciel,MORENA,-0.90481,-0.175791,LX
P00421,Peña Sánchez Miguel Ángel,MORENA,-0.872383,-0.228548,LX
P00422,Pulido Santiago Celso David,MORENA,-0.665425,0.160923,LX
P00423,Ramos Castellanos Martín,MORENA,-0.554074,0.26393,LX
P00424,Rasgado Corsi Gloria,MORENA,-0.672553,0.049749,LX
P00425,Ríos Gamboa Raúl,MORENA,-0.711109,0.122992,LX
P00426,Romero Gutiérrez Odilón,MORENA,-0.827699,-0.195037,LX
P00427,Ruiz Sánchez Salvador,MORENA,-0.778324,-0.179621,LX
P00428,Saavedra Coronel José Antonio,MORENA,-0.572035,0.210909,LX
P00429,Sánchez Barrios Carlos,MORENA,-0.812784,-0.114132,LX
P00430,Sánchez Camacho Alejandro,MORENA,-0.975928,-0.218095,LX
P00431,Sánchez Jiménez V. Luis,MORENA,-0.691201,-0.050188,LX
P00432,Santos Arreola Francisco Javier,MORENA,-0.571114,0.113956,LX
