voter_id,nombre,partido,dim_1,dim_2,legislatura
P00766,"Flores Sánchez, Margarita",PRI,0.417278,-0.497554,LXIII
P00767,"Gándara Camou, Ernesto",PRI,0.418791,-0.519675,LXIII
P00768,"García Cabeza de Vaca, Francisco",PAN,0.273487,-0.429795,LXIII
P00769,"García Gómez, Martha Elena",PAN,-0.332982,0.073677,LXIII
P00770,"Garza Galván, Silvia Guadalupe",PAN,-0.234135,0.011042,LXIII
P00771,"Gastélum Bajo, Diva Hadamira",PRI,0.415256,-0.50723,LXIII
P00772,"Gil Zuarth, Roberto",PAN,0.382028,-0.811552,LXIII
P00773,"Gómez del Campo Gurza, Mariana",PAN,-0.198817,-0.079245,LXIII
P00775,"González Canto, Félix Arturo",PRI,0.430432,-0.520874,LXIII
P00776,"González Cuevas, Isaías",PRI,0.436102,-0.494484,LXIII
P00777,"Gracia Guzmán, Raúl",PAN,-0.490176,0.450927,LXIII
P00778,"Guerra Castillo, Marcela",PRI,0.413665,-0.506188,LXIII
P00779,"Guevara Espinoza, Ana Gabriela",PT,-0.870067,0.457584,LXIII
P00780,"Hermosillo y Celada, Víctor",PAN,-0.457262,0.717168,LXIII
P00781,"Hernández Deras, Ismael",PRI,0.503939,-0.507611,LXIII
P00782,"Hernández Lecona, Lisbeth",PRI,0.437034,-0.503795,LXIII
P00783,"Herrera Ale, Juana Leticia",PRI,0.240546,-0.498506,LXIII
P00784,"Herrera Anzaldo, Ana Lilia",PRI,0.41037,-0.508288,LXIII
P00785,"Herrera Ávila, Fernando",PAN,-0.227047,-0.028941,LXIII
P00786,"Irízar López, Aarón",PRI,0.413303,-0.509444,LXIII
P00787,"Juárez Cisneros, René",PRI,0.481306,-0.555593,LXIII
P00788,"Lavalle Maury, Jorge Luis",PAN,0.377046,-0.317135,LXIII
P00789,"López Brito, Francisco Salvador",PAN,0.996076,0.088499,LXIII
P00791,"Martínez García, Patricio",PRI,0.428657,-0.903467,LXIII
P00792,"Martínez Martínez, José María",PAN,0.997687,0.06797,LXIII
P00793,"Mayans Canabal, Fernando Enrique",MORENA,-0.742646,-0.107534,LXIII
P00794,"Mayans Canabal, Humberto Domingo",PRI,0.432812,-0.501859,LXIII
P00796,"Mendoza Díaz, Sonia",PAN,-0.189554,-0.094603,LXIII
P00797,"Mendoza Mendoza, Iris Vianey",MORENA,-0.45757,-0.52891,LXIII
P00798,"Monreal Ávila, David",PT,-0.91651,0.400012,LXIII
P00799,"Morón Orozco, Raúl",MORENA,-0.61502,-0.690061,LXIII
P00800,"Orihuela Bárcenas, José Ascención",PRI,0.416273,-0.518029,LXIII
P00801,"Orozco Sandoval, Martín",PAN,0.240858,-0.50195,LXIII
P00802,"Ortiz Domínguez, Maki Esther",PAN,-0.30521,3e-05,LXIII
P00803,"Ortiz González, Graciela",PRI,0.426518,-0.518331,LXIII
P00804,"Padierna Luna, María de los Dolores",MORENA,-0.762426,-0.346756,LXIII
P00805,"Palafox Gutiérrez, Martha",PT,-0.6934,0.31609,LXIII
P00807,"Pedraza Chávez, Isidro",MORENA,-0.574572,-0.683391,LXIII
P00808,"Pedroza Gaitán, César Octavio",PAN,0.337452,0.023317,LXIII
P00809,"Penchyna Grub, David",PRI,0.43081,-0.531141,LXIII
P00810,"Pérez Magaña, Eviel",PRI,0.281987,-0.452166,LXIII
P00811,"Pineda Gochi, Ma. del Rocío",PRI,0.431568,-0.505853,LXIII
P00812,"Pozos Lanz, Raúl Aarón",PRI,0.427871,-0.509178,LXIII
P00813,"Preciado Rodríguez, Jorge Luis",PAN,0.357068,0.137546,LXIII
P00814,"Puente Salas, Carlos Alberto",PVEM,0.429535,-0.522528,LXIII
P00815,"Ramírez Hernández, Sofío",PRI,0.475459,-0.540366,LXIII
