voter_id,nombre,genero,curul_tipo,legislatura,partido,partido_disciplina,dim_1_aligned,dim_2_aligned,dim_1_raw,dim_2_raw,disciplina,n_votos
P01716,"Sánchez Hernández, Gloria",F,,LXV,MORENA,Independientes,0.7074863915832574,0.042634948407643314,0.462904,0.131632,0.9931,727.0
P01717,"Guerrero Sánchez, Martha",F,mayoria_relativa,LXV,MORENA,Independientes,0.7607093915832575,-0.3022650515923567,0.516127,-0.213268,0.9831,473.0
P01720,"Peralta Suárez, Ovidio Salvador",M,mayoria_relativa,LXV,MORENA,Independientes,0.7465533915832574,-0.2676050515923567,0.501971,-0.178608,0.9921,631.0
P01721,"Velázquez Meza, Ricardo",M,mayoria_relativa,LXV,MORENA,Independientes,0.9763293915832576,-0.41216205159235664,0.731747,-0.323165,0.9534,515.0
P01722,"Novelo Osuna, Gerardo",M,mayoria_relativa,LXV,MORENA,Independientes,0.6596303915832575,-0.11678005159235669,0.415048,-0.027783,0.8095,126.0
P01727,"González González, María Merced",F,mayoria_relativa,LXV,MORENA,Independientes,1.1081093915832576,-0.45909205159235666,0.863527,-0.370095,0.8808,713.0
P01728,"Moya Clemente, Roberto Juan",M,plurinominal,LXV,PAN,Convergencia,-0.5032506084167425,0.1666839484076433,-0.747833,0.255681,0.9347,643.0
P01732,"Lucero Olivas, Miguel Ángel",M,mayoria_relativa,LXV,PT,Alternativa Socialdemócrata,0.17481339158325748,0.1529019484076433,-0.069769,0.241899,1.0,79.0
P01764,"Pérez Astorga, Ernesto",M,mayoria_relativa,LXV,MORENA,Independientes,0.6057813915832575,0.05876294840764332,0.361199,0.14776,0.9331,747.0
P01769,"Moreno Bastida, Ricardo",M,mayoria_relativa,LXV,MORENA,Independientes,0.7681733915832576,-0.5001550515923567,0.523591,-0.411158,1.0,133.0
P01793,"Sánchez Arredondo, Nancy Guadalupe",F,,LXV,MORENA,Independientes,0.6326193915832575,0.1849569484076433,0.388037,0.273954,0.9787,658.0
P01807,"Sánchez Sugía, María Celeste",F,mayoria_relativa,LXV,MORENA,Independientes,0.8615733915832575,0.03666694840764331,0.616991,0.125664,0.976,208.0
P01808,"Salazar Sáenz, Francisco Javier",M,,LXV,PAN,Convergencia,-0.4844536084167425,0.5954739484076433,-0.729036,0.684471,1.0,33.0
P01809,"Ortíz Salinas, Luis David",M,mayoria_relativa,LXV,MC,Sin Partido,-0.4874306084167425,-0.49370005159235664,-0.732013,-0.404703,0.9773,661.0
P01816,"Botello Montes, José Alfredo",M,,LXV,PAN,Convergencia,-0.6123236084167425,0.2796479484076433,-0.856906,0.368645,0.9358,716.0
P01818,"Moo Cahuich, Arturo del Carmen",F,mayoria_relativa,LXV,MORENA,Independientes,0.7934943915832575,-0.2114330515923567,0.548912,-0.122436,1.0,495.0
P01825,"Pérez Flores, Checo",M,mayoria_relativa,LXV,MORENA,Independientes,0.7479033915832576,-0.049014051592356694,0.503321,0.039983,0.9748,793.0
P01826,"Elenes Angulo, Raúl de Jesús",M,mayoria_relativa,LXV,MORENA,Independientes,0.7076003915832575,-0.2402290515923567,0.463018,-0.151232,0.971,621.0
P01831,"Gaitán Díaz, María Graciela",F,mayoria_relativa,LXV,PVEM,Nueva Alianza,0.7081333915832575,-0.2396330515923567,0.463551,-0.150636,0.9742,776.0
P01832,"López Hernández, Ruth Alejandra",F,mayoria_relativa,LXV,MC,Sin Partido,-0.45385760841674244,-0.2281620515923567,-0.69844,-0.139165,0.9879,165.0
P01870,"Cervantes Rojas, Elí César Eduardo",M,plurinominal,LXV,MORENA,Independientes,1.1616333915832575,0.30976594840764327,0.917051,0.398763,0.9605,481.0
P01871,"Cravioto Romero, César Arnulfo",M,mayoria_relativa,LXV,MORENA,Independientes,1.0842743915832576,-0.46668205159235665,0.839692,-0.377685,0.993,571.0
P01885,"Espino de la Peña, Rafael",M,mayoria_relativa,LXV,MORENA,Independientes,1.2346783915832575,0.05139794840764331,0.990096,0.140395,0.9626,749.0
P01886,"Rojas Loreto, Estrella",F,mayoria_relativa,LXV,PAN,Convergencia,-0.5266606084167424,0.26607094840764334,-0.771243,0.355068,0.942,742.0
P02377,"Vázquez Saut, Judith Fabiola",F,,LXV,MORENA,Convergencia,0.6339953915832575,-0.1759310515923567,0.389413,-0.086934,0.8852,61.0
P02381,"Gómez Hernández, Adolfo",M,,LXV,MORENA,Independientes,0.7395813915832575,-0.27406305159235667,0.494999,-0.185066,0.9765,595.0
P02382,"Jiménez Arteaga, Rosa Elena",F,mayoria_relativa,LXV,MORENA,Independientes,0.7405453915832575,-0.27501605159235665,0.495963,-0.186019,0.9931,582.0
P02383,"López Vargas, Faustino",M,,LXV,MORENA,Independientes,0.9008033915832576,0.02015094840764331,0.656221,0.109148,1.0,128.0
P02384,"Rojas Mancera, Navor Alberto",M,mayoria_relativa,LXV,MORENA,Independientes,0.7501793915832575,-0.2478320515923567,0.505597,-0.158835,0.9545,571.0
P02387,"López Gómez, Gabriela",F,,LXV,MORENA,Independientes,0.9460833915832576,-0.004682051592356698,0.701501,0.084315,0.9143,140.0
P02388,"Márquez Valdivia, Rogelio",M,mayoria_relativa,LXV,MORENA,Independientes,0.9480663915832575,-3.0051592356694634e-05,0.703484,0.088967,1.0,84.0
P02389,"Jurado Valadez, Adriana Guadalupe",F,mayoria_relativa,LXV,PAN,,-0.7363396084167424,-0.014102051592356696,-0.980922,0.074895,0.9877,81.0
P02391,"Larios Esparza, Juan Francisco",M,mayoria_relativa,LXV,PAN,Convergencia,-0.5353836084167425,0.2331659484076433,-0.779966,0.322163,0.9921,127.0
